Q33,Q1,Q2,Q4,Q4_6_TEXT,,Q5,Q6,Q8,Q9,Q10,Q11,Q11_6_TEXT,Q12,Q14,Q13,Q13_6_TEXT,Q35,Q32,Q15,Q33,Q34,Q16,Q17,Q18,Q19,Q20,Q30,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
I agree,25-34,Female,Master’s degree,,30-40k,Daily,Slightly familiar,Neither agree nor disagree,Sometimes,Somewhat unclear,"Organic,Recyclable packaging",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A moderate amount,Somewhat likely,Significantly reduces trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Sometimes,Somewhat disagree,Yes,Yes,Neither likely nor unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Strongly agree,Strongly agree
I agree,18-24,Male,Master’s degree,,30-40k,Monthly,Moderately familiar,Neither agree nor disagree,Never,Somewhat unclear,"Eco-friendly,Organic,Recyclable packaging",,No,Moderately confident,"Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A moderate amount,Somewhat likely,Slightly reduces trust,A little responsibility,Somewhat agree,Often happens,Rarely,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Neither agree nor disagree,Yes,Yes,Somewhat likely,"Price is somewhat important, but I prefer eco-friendly products",Sometimes choose the cheaper product,Strongly agree,Somewhat disagree
I agree,25-34,Female,Master’s degree,,30-40k,2-3 times a week,Moderately familiar,Neither agree nor disagree,Sometimes,Somewhat clear,"Organic,Sustainably sourced",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Neither likely nor unlikely,Slightly reduces trust,Some responsibility,Strongly agree,Often happens,Sometimes,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Sometimes,Somewhat disagree,Yes,Yes,Neither likely nor unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Neither agree nor disagree
I agree,25-34,Male,Doctorate,,30-40k,Monthly,Moderately familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Eco-friendly,Recyclable packaging",,No,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,A moderate amount,Somewhat unlikely,Slightly reduces trust,Some responsibility,Somewhat agree,Rarely happens,Sometimes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Neither agree nor disagree,Yes,No,Neither likely nor unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Neither agree nor disagree,Neither agree nor disagree
I agree,25-34,Male,Other (Please specify): _,Chartered Accountant ,30-40k,4-6 times a week,Moderately familiar,Somewhat disagree,About half the time,Extremely unclear,"Organic,Recyclable packaging,Sustainably sourced",,Yes,Not at all confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A moderate amount,Extremely unlikely,Significantly reduces trust,Some responsibility,Somewhat agree,Often happens,Sometimes,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,About half the time,Somewhat agree,Yes,No,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Rarely choose the cheaper product,Strongly agree,Somewhat agree
I agree,25-34,Male,Master’s degree,,30-40k,4-6 times a week,Very familiar,Somewhat agree,Always,Extremely clear,Recyclable packaging,,No,Moderately confident,"Vague or non-specific terms (e.g., “natural”),Lack of detailed information about sustainability",,A lot,Extremely likely,Significantly reduces trust,A great deal of responsibility,Neither agree nor disagree,Sometimes happens,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Most of the time,Neither agree nor disagree,Yes,Yes,Somewhat likely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Neither agree nor disagree,Somewhat agree
I agree,25-34,Female,Master’s degree,,above 50k,2-3 times a week,Moderately familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Eco-friendly,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,A little responsibility,Strongly agree,Sometimes happens,Sometimes,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Most of the time,Strongly agree,Yes,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Somewhat agree,Somewhat disagree
I agree,25-34,Male,Bachelor’s degree,,less than 20k,Once a week,Very familiar,Somewhat agree,Most of the time,Somewhat clear,"Organic,Recyclable packaging,Sustainably sourced",,Yes,Moderately confident,"Lack of certifications or third-party verification,Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Most of the time,Somewhat agree,Yes,Yes,Neither likely nor unlikely,Price does not matter if the product is truly eco-friendly,Always choose the eco-friendly product,Strongly agree,Somewhat agree
I agree,18-24,Female,Bachelor’s degree,,less than 20k,Monthly,Not familiar at all,Neither agree nor disagree,Sometimes,Neither clear nor unclear,Organic,,Not sure,Moderately confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Somewhat unlikely,Significantly reduces trust,A little responsibility,Neither agree nor disagree,Rarely happens,Most of the time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Most of the time,Neither agree nor disagree,Yes,Yes,Neither likely nor unlikely,Price does not matter if the product is truly eco-friendly,Sometimes choose the cheaper product,Strongly agree,Somewhat disagree
I agree,25-34,Male,Master’s degree,,above 50k,Once a week,Moderately familiar,Somewhat disagree,Sometimes,Extremely unclear,"Organic,Recyclable packaging",,No,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A little,Somewhat likely,Significantly reduces trust,A little responsibility,Somewhat agree,Sometimes happens,Sometimes,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Strongly disagree,Yes,No,Extremely unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,25-34,Male,Master’s degree,,above 50k,Once a week,Moderately familiar,Somewhat disagree,Sometimes,Extremely unclear,"Eco-friendly,Organic,Recyclable packaging",,Yes,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Moderately reduces trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Most of the time,Strongly agree,Yes,Yes,Somewhat likely,Price is the most important factor,Choose depending on the situation,Somewhat agree,Somewhat disagree
I agree,25-34,Male,Master’s degree,,above 50k,2-3 times a week,Slightly familiar,Somewhat agree,About half the time,Somewhat clear,"Organic,Recyclable packaging,Sustainably sourced",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Lack of detailed information about sustainability",,A little,Somewhat likely,Significantly reduces trust,No responsibility,Strongly agree,Always happens,Sometimes,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Somewhat disagree,Yes,Yes,Neither likely nor unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,18-24,Male,Master’s degree,,above 50k,Daily,Slightly familiar,Neither agree nor disagree,About half the time,Somewhat clear,"Eco-friendly,Organic,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,A little responsibility,Somewhat agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Most of the time,Somewhat agree,Yes,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Sometimes choose the cheaper product,Strongly agree,Neither agree nor disagree
I agree,25-34,Male,Bachelor’s degree,,30-40k,Monthly,Moderately familiar,Somewhat agree,Sometimes,Somewhat unclear,"Organic,Sustainably sourced",,Yes,Slightly confident,"Lack of certifications or third-party verification,Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Completely lose trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Somewhat agree,Yes,Yes,Somewhat unlikely,Price is the most important factor,Sometimes choose the cheaper product,Strongly agree,Somewhat disagree
I agree,25-34,Female,Master’s degree,,above 50k,2-3 times a week,Slightly familiar,Neither agree nor disagree,About half the time,Somewhat unclear,Organic,,Not sure,Moderately confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Extremely likely,Completely lose trust,Some responsibility,Strongly agree,Always happens,Rarely,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Strongly disagree,Yes,No,Extremely unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Strongly agree,Somewhat agree
I agree,18-24,Female,Master’s degree,,above 50k,2-3 times a week,Very familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Eco-friendly,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Somewhat likely,No impact,A great deal of responsibility,Somewhat agree,Often happens,Always,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Sometimes,Neither agree nor disagree,Yes,No,Extremely unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Neither agree nor disagree
I agree,18-24,Male,Master’s degree,,30-40k,Daily,Moderately familiar,Somewhat agree,Most of the time,Somewhat clear,"Organic,Recyclable packaging,Sustainably sourced",,No,Not at all confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals)",,A little,Somewhat likely,Significantly reduces trust,Some responsibility,Neither agree nor disagree,Often happens,Most of the time,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Always,Somewhat agree,Yes,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Always choose the eco-friendly product,Somewhat disagree,Somewhat disagree
I agree,25-34,Female,Doctorate,,20-30k,Daily,Moderately familiar,Somewhat disagree,Most of the time,Somewhat unclear,"Eco-friendly,Organic,Recyclable packaging",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A little,Neither likely nor unlikely,Slightly reduces trust,Some responsibility,Somewhat disagree,Sometimes happens,Always,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Sometimes,Strongly disagree,Yes,Yes,Somewhat likely,"Price is somewhat important, but I prefer eco-friendly products",Rarely choose the cheaper product,Strongly agree,Somewhat agree
I agree,25-34,Male,Bachelor’s degree,,30-40k,Once a week,Very familiar,Neither agree nor disagree,Most of the time,Extremely unclear,"Eco-friendly,Recyclable packaging",,Yes,Moderately confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Somewhat likely,Moderately reduces trust,Some responsibility,Somewhat agree,Often happens,Rarely,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,About half the time,Somewhat agree,No,No,Neither likely nor unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Somewhat disagree,Somewhat agree
I agree,18-24,Female,Master’s degree,,30-40k,Daily,Moderately familiar,Somewhat disagree,Sometimes,Somewhat unclear,"Eco-friendly,Recyclable packaging",,Yes,Not at all confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Discrepancy between label information and product performance",,A moderate amount,Somewhat likely,Significantly reduces trust,Some responsibility,Somewhat agree,Sometimes happens,Sometimes,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Always,Somewhat agree,Yes,Yes,Somewhat likely,Price is the most important factor,Always choose the cheaper product,Strongly agree,Somewhat disagree
I agree,25-34,Female,Bachelor’s degree,,20-30k,Daily,Very familiar,Somewhat agree,Always,Somewhat clear,Recyclable packaging,,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification",,A moderate amount,Somewhat unlikely,Moderately reduces trust,A little responsibility,Strongly agree,Sometimes happens,Sometimes,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Always,Somewhat agree,Yes,Yes,Somewhat likely,Price is the most important factor,Rarely choose the cheaper product,Somewhat agree,Somewhat agree
I agree,25-34,Female,Bachelor’s degree,,20-30k,Once a week,Moderately familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Eco-friendly,Organic,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Lack of detailed information about sustainability",,A little,Somewhat likely,Significantly reduces trust,A great deal of responsibility,Strongly agree,Always happens,Sometimes,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Most of the time,Strongly agree,Yes,Yes,Somewhat likely,Price is the most important factor,Always choose the cheaper product,Strongly agree,Neither agree nor disagree
I agree,25-34,Female,Bachelor’s degree,,20-30k,Daily,Moderately familiar,Neither agree nor disagree,Never,Somewhat unclear,"Eco-friendly,Recyclable packaging",,Yes,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Somewhat likely,Moderately reduces trust,A great deal of responsibility,Strongly agree,Always happens,Most of the time,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Never,Strongly disagree,Yes,No,Extremely unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Strongly agree,Strongly agree
I agree,18-24,Female,Master’s degree,,30-40k,2-3 times a week,Not familiar at all,Somewhat agree,Most of the time,Somewhat clear,"Eco-friendly,Recyclable packaging,Sustainably sourced",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals),Lack of detailed information about sustainability",,A little,Extremely likely,Moderately reduces trust,A little responsibility,Strongly agree,Rarely happens,Rarely,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Neither agree nor disagree,Yes,Yes,Somewhat unlikely,Price is the most important factor,Sometimes choose the cheaper product,Somewhat agree,Somewhat disagree
I agree,25-34,Male,Bachelor’s degree,,20-30k,Daily,Slightly familiar,Strongly disagree,Never,Extremely unclear,Recyclable packaging,,No,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A little,Somewhat likely,Completely lose trust,Some responsibility,Strongly agree,Often happens,Sometimes,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Most of the time,Neither agree nor disagree,Yes,No,Somewhat likely,Price is the most important factor,Always choose the cheaper product,Somewhat agree,Somewhat agree
I agree,18-24,Female,Master’s degree,,30-40k,Once a week,Not familiar at all,Neither agree nor disagree,Sometimes,Somewhat clear,"Eco-friendly,Organic,Recyclable packaging,Sustainably sourced",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals)",,A lot,Neither likely nor unlikely,Moderately reduces trust,Some responsibility,Strongly agree,Always happens,Most of the time,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Sometimes,Somewhat disagree,Yes,No,Extremely unlikely,"Price is somewhat important, but I prefer eco-friendly products",Always choose the eco-friendly product,Strongly agree,Somewhat agree
I agree,25-34,Male,Bachelor’s degree,,20-30k,Monthly,Slightly familiar,Somewhat agree,Sometimes,Somewhat unclear,"Eco-friendly,Organic,Other (Please specify):",Mainly should use that kind of plastic which can be easily degrad in nature,No,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,None at all,Neither likely nor unlikely,Slightly reduces trust,Some responsibility,Somewhat agree,Rarely happens,Rarely,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Sometimes,Strongly disagree,Yes,Yes,Somewhat likely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,25-34,Female,Bachelor’s degree,,20-30k,Daily,Slightly familiar,Somewhat agree,Sometimes,Somewhat unclear,Organic,,Not sure,Not at all confident,Discrepancy between label information and product performance,,A moderate amount,Neither likely nor unlikely,Slightly reduces trust,Some responsibility,Somewhat disagree,Rarely happens,Most of the time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Never,Somewhat agree,No,No,Somewhat likely,Price does not matter if the product is truly eco-friendly,Rarely choose the cheaper product,Somewhat disagree,Neither agree nor disagree
I agree,18-24,Male,Master’s degree,,30-40k,4-6 times a week,Moderately familiar,Somewhat agree,About half the time,Neither clear nor unclear,Organic,,Yes,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Somewhat likely,Significantly reduces trust,A great deal of responsibility,Neither agree nor disagree,Often happens,Sometimes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Most of the time,Somewhat disagree,Yes,Yes,Somewhat unlikely,Price does not matter if the product is truly eco-friendly,Sometimes choose the cheaper product,Somewhat disagree,Strongly disagree
I agree,25-34,Male,Bachelor’s degree,,20-30k,Daily,Moderately familiar,Somewhat agree,Never,Neither clear nor unclear,"Eco-friendly,Organic,Recyclable packaging,Sustainably sourced",,Not sure,Not at all confident,"Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Somewhat likely,Significantly reduces trust,A great deal of responsibility,Somewhat agree,Often happens,Most of the time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Sometimes,Somewhat agree,Yes,Yes,Somewhat likely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,25-34,Male,Bachelor’s degree,,30-40k,2-3 times a week,Moderately familiar,Somewhat disagree,About half the time,Somewhat clear,"Eco-friendly,Organic,Sustainably sourced",,Not sure,Moderately confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A lot,Neither likely nor unlikely,Moderately reduces trust,A little responsibility,Neither agree nor disagree,Sometimes happens,Always,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Sometimes,Strongly disagree,Yes,No,Extremely unlikely,"Price is somewhat important, but I prefer eco-friendly products",Rarely choose the cheaper product,Strongly agree,Somewhat agree
I agree,25-34,Female,Master’s degree,,30-40k,Daily,Very familiar,Neither agree nor disagree,About half the time,Somewhat clear,Organic,,No,Moderately confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A moderate amount,Extremely unlikely,Significantly reduces trust,A great deal of responsibility,Strongly agree,Often happens,Sometimes,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,About half the time,Neither agree nor disagree,Yes,No,Neither likely nor unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Neither agree nor disagree,Neither agree nor disagree
I agree,35-44,Male,Doctorate,,20-30k,Daily,Very familiar,Somewhat agree,Most of the time,Somewhat clear,Eco-friendly,,Yes,Moderately confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A lot,Neither likely nor unlikely,Significantly reduces trust,Some responsibility,Strongly agree,Often happens,Sometimes,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Most of the time,Somewhat agree,Yes,Yes,Somewhat likely,Price does not matter if the product is truly eco-friendly,Always choose the eco-friendly product,Strongly agree,Strongly agree
I agree,25-34,Female,Doctorate,,20-30k,Daily,Not familiar at all,Somewhat disagree,Sometimes,Neither clear nor unclear,"Recyclable packaging,Sustainably sourced",,Yes,Moderately confident,"Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Lack of detailed information about sustainability",,A little,Somewhat likely,Significantly reduces trust,Some responsibility,Strongly agree,Often happens,Rarely,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Most of the time,Strongly agree,Yes,Yes,Somewhat likely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat agree
I agree,18-24,Female,High school or equivalent,,20-30k,4-6 times a week,Moderately familiar,Neither agree nor disagree,Sometimes,Extremely unclear,Organic,,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”)",,A little,Somewhat likely,Completely lose trust,A great deal of responsibility,Somewhat agree,Often happens,Sometimes,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Strongly agree,Yes,Yes,Somewhat likely,Price is the most important factor,Sometimes choose the cheaper product,Somewhat agree,Somewhat agree
I agree,25-34,Male,Master’s degree,,20-30k,2-3 times a week,Not familiar at all,Neither agree nor disagree,Sometimes,Somewhat unclear,"Organic,Recyclable packaging",,Not sure,Moderately confident,"Vague or non-specific terms (e.g., “natural”)",,None at all,Somewhat unlikely,Significantly reduces trust,Some responsibility,Strongly agree,Often happens,Rarely,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,About half the time,Neither agree nor disagree,Yes,Yes,Somewhat unlikely,Price is the most important factor,Choose depending on the situation,Strongly agree,Somewhat disagree
I agree,18-24,Male,Bachelor’s degree,,20-30k,Once a week,Very familiar,Somewhat agree,Sometimes,Neither clear nor unclear,"Organic,Recyclable packaging",,No,Very confident,"Vague or non-specific terms (e.g., “natural”),Overuse of nature-related imagery (e.g., trees, animals),Lack of detailed information about sustainability",,A moderate amount,Extremely likely,Significantly reduces trust,Some responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Strongly disagree,Yes,No,Extremely unlikely,Price does not matter if the product is truly eco-friendly,Always choose the eco-friendly product,Strongly agree,Strongly agree
I agree,25-34,Male,Master’s degree,,above 50k,Daily,Not familiar at all,Somewhat agree,Most of the time,Extremely clear,"Eco-friendly,Organic,Recyclable packaging,Sustainably sourced",,Yes,Moderately confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance",,A lot,Neither likely nor unlikely,Slightly reduces trust,A little responsibility,Somewhat agree,Sometimes happens,Rarely,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Most of the time,Strongly agree,Yes,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Rarely choose the cheaper product,Strongly agree,Somewhat agree
I agree,18-24,Female,Bachelor’s degree,,20-30k,2-3 times a week,Extremely familiar,Somewhat disagree,Sometimes,Somewhat unclear,"Eco-friendly,Recyclable packaging",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A little,Somewhat unlikely,Significantly reduces trust,A little responsibility,Neither agree nor disagree,Always happens,Rarely,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Sometimes,Neither agree nor disagree,Yes,Yes,Somewhat likely,"Price is somewhat important, but I prefer eco-friendly products",Sometimes choose the cheaper product,Somewhat agree,Neither agree nor disagree
I agree,35-44,Male,Master’s degree,,above 50k,Monthly,Slightly familiar,Somewhat agree,Sometimes,Somewhat clear,Organic,,Not sure,Slightly confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A little,Extremely likely,Significantly reduces trust,Some responsibility,Somewhat agree,Often happens,Most of the time,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Never,Somewhat disagree,Yes,No,Neither likely nor unlikely,"Price is somewhat important, but I prefer eco-friendly products",Always choose the cheaper product,Somewhat disagree,Strongly disagree
I agree,55 and above,Male,Bachelor’s degree,,20-30k,2-3 times a week,Slightly familiar,Somewhat disagree,Most of the time,Neither clear nor unclear,Eco-friendly,,No,Slightly confident,"Vague or non-specific terms (e.g., “natural”)",,A lot,Somewhat likely,Moderately reduces trust,Some responsibility,Somewhat agree,Often happens,Rarely,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Strongly disagree,Yes,No,Somewhat likely,"Price is somewhat important, but I prefer eco-friendly products",Always choose the eco-friendly product,Strongly agree,Somewhat agree
I agree,18-24,Male,Master’s degree,,above 50k,4-6 times a week,Slightly familiar,Neither agree nor disagree,Never,Somewhat unclear,"Eco-friendly,Organic,Recyclable packaging",,Not sure,Not at all confident,"Overuse of nature-related imagery (e.g., trees, animals)",,A moderate amount,Somewhat likely,Moderately reduces trust,A great deal of responsibility,Somewhat agree,Often happens,Always,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Sometimes,Strongly disagree,Yes,No,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Always choose the eco-friendly product,Strongly agree,Somewhat agree
I agree,25-34,Female,Master’s degree,,above 50k,Once a week,Not familiar at all,Somewhat disagree,Sometimes,Extremely unclear,"Eco-friendly,Organic,Recyclable packaging",,No,Not at all confident,"Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A moderate amount,Somewhat unlikely,Slightly reduces trust,Some responsibility,Strongly disagree,Sometimes happens,Sometimes,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Never,Strongly disagree,Yes,No,Somewhat unlikely,Price does not matter if the product is truly eco-friendly,Choose depending on the situation,Strongly agree,Strongly agree
I agree,25-34,Male,Master’s degree,,above 50k,4-6 times a week,Very familiar,Somewhat disagree,Sometimes,Somewhat unclear,"Recyclable packaging,Sustainably sourced",,Yes,Slightly confident,Lack of certifications or third-party verification,,A moderate amount,Somewhat unlikely,Slightly reduces trust,Some responsibility,Neither agree nor disagree,Sometimes happens,Sometimes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Sometimes,Neither agree nor disagree,No,No,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Sometimes choose the cheaper product,Somewhat disagree,Neither agree nor disagree
I agree,18-24,Female,Bachelor’s degree,,30-40k,2-3 times a week,Slightly familiar,Neither agree nor disagree,About half the time,Somewhat unclear,"Eco-friendly,Organic,Recyclable packaging,Sustainably sourced",,Yes,Moderately confident,"Vague or non-specific terms (e.g., “natural”)",,A moderate amount,Extremely likely,Completely lose trust,A great deal of responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Most of the time,Somewhat disagree,No,Yes,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Choose depending on the situation,Somewhat agree,Strongly disagree
I agree,25-34,Male,Bachelor’s degree,,20-30k,2-3 times a week,Moderately familiar,Somewhat disagree,Sometimes,Somewhat unclear,"Eco-friendly,Organic,Recyclable packaging",,Not sure,Slightly confident,"Vague or non-specific terms (e.g., “natural”),Lack of certifications or third-party verification,Overuse of nature-related imagery (e.g., trees, animals),Discrepancy between label information and product performance,Lack of detailed information about sustainability",,A lot,Somewhat likely,Significantly reduces trust,A great deal of responsibility,Strongly agree,Often happens,Most of the time,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Sometimes,Neither agree nor disagree,Yes,No,Somewhat unlikely,"Price is somewhat important, but I prefer eco-friendly products",Rarely choose the cheaper product,Strongly agree,Strongly agree
